question,gold answer,KITLM,"GPT3.5-turbo ChatGPT, 1 shot",GPT3_FineTuned_2-epochs
what films did [Will Ferrell] act in,Step Brothers|Old School|The Other Guys|Megamind|Elf|Blades of Glory|The Campaign|Semi-Pro|Bewitched|Land of the Lost|A Night at the Roxbury|Everything Must Go|The Producers|Superstar|Curious George|Get Hard,everything must go,Anchorman: The Legend of Ron Burgundy | Blades of Glory | Elf | Step Brothers | Talladega Nights: The Ballad of Ricky Bobby | Zoolander | The Other Guys | Daddy's Home | Wedding Crashers | Get Hard,the other guys
what films did [Fernando Cayo] star in,The Orphanage,the orphanage,The Orphanage | Grand Piano | Wiñaypacha | Welcome to Spain | The Fury of a Patient Man | Sólo mía | Las chicas de la 3ª planta | Three Steps Above Heaven | The Fearmakers | Los,the man who would be king
[Liz Renay] appears in which movies,Desperate Living,desperate living,Desperate Living | Teenage Mother | Rat Pfink a Boo Boo | The Thrill Killers | The Nasty Rabbit | Mark of the Astro-Zombies | Tromeo and Juliet | Sword of Heaven | Lady Avenger | Gator B, The Man Who Laughs
what movies did [Beatriz Batarda] act in,Alice,alice,"Alice, Coisa Ruim, Mistérios de Lisboa, Trilogy: The Last Day, Arabian Nights, John From.",the man who knew too little
[Sharni Vinson] appears in which movies,You're Next,you're next,Step Up 3D|Bait|You're Next|Patrick|Blue Crush 2|Home and Away, The Perfect Game
[Mehdi Nebbou] appears in which movies,English Vinglish,english vinglish,"Mehdi Nebbou appears in movies like 'Munich', 'The Father of My Children', 'Body of Lies', 'Black Heaven', 'A Most Wanted Man', 'Zero Dark Thirty', 'French Women', 'The Lost Prince", The Intouchables 2
what movies was [Jason O'Mara] an actor in,One for the Money|Son of Batman,one for the money,"Resident Evil: Extinction, One for the Money, Justice League vs. Teen Titans, The Siege of Jadotville, Batman: Bad Blood, The Infiltrator, Home Sweet Hell, High-Rise Rescue, The Death and Return of",the last samurai 2: the legend continues
what movies did [Astrid Meyerfeldt] star in,Wolfsburg,wolfsburg,N/A,the girl with the dragon tattoo
what movies did [Ken Foree] act in,Dawn of the Dead|From Beyond|The Dentist,the dentist,Dawn of the Dead|The Devil's Rejects|Halloween (2007)|The Lords of Salem|Leatherface: The Texas Chainsaw Massacre III|Army of Darkness|Water for Elephants|The Wanderers|Knigh,the last dragon movie 2: the new order of the dragon clan ii: the new order of the dragon clan ii: the new order of the dragon clan ii: the new order of the dragon clan ii: the new order of the dragon clan ii
what movies did [Irene Purcell] act in,Just a Gigolo|The Man in Possession,the man in possession,N/A (Irene Purcell did not act in any movies. She was a Broadway actress.),the man who would be king
what movies was [Dalton Trumbo] an actor in,Trumbo,trumbo,"N/A (Dalton Trumbo was not known for his acting career, but for his career as a screenwriter and author)", the man who shot liberty valance
what movies was [Rafael Alonso] an actor in,The Grandfather,the grandfather,"N/A (As an AI language model, I cannot browse the internet and verify current information. Moreover, the name Rafael Alonso is not unique to a specific individual who has acted in movies. Please specify a particular Rafael Alonso for me to provide an accurate", the man who would be king
what movies did [George Tiller] act in,After Tiller,after tiller,N/A (George Tiller was not an actor but a doctor and abortion provider),the last of the mohicans 2
what movies was [Harry Hill] an actor in,The Harry Hill Movie,the harry hill movie,"N/A (Harry Hill is primarily known as a comedian and television presenter, not an actor in movies)",the big top circus
what films did [Duong Don] act in,Green Dragon,green dragon,N/A,the man who loves women too much
[Stephen Frears] appears in which movies,Great Directors,great directors,"My training data only goes up to 2021, as of that time Stephen Frears has appeared in the following movies: 'Quiz', 'A Day in the Death of Joe Egg', 'Victoria & Abdul', 'Florence Foster Jenkins'."," High Fidelity 2: Music, Lies and Videotape"
what movies was [Kay Kyser] an actor in,You'll Find Out,you'll find out,N/A (Kay Kyser was primarily a bandleader and radio personality and did not have any significant acting roles in movies),the big show-1941-dvdrip-xvid-ac3-dvdrip-xvid-ac3-dvdrip-xvid-ac3-dvdrip-xvid-ac3-dvdrip
what does [Richard Rober] act in,The Well,the well,Impact | His Kind of Woman | The Well | Walk East on Beacon! | Mr. Belvedere Goes to College | Callaway Went Thataway | You're Never Too Young | The Tall Texan | Return to Treasure Island | Rogue's,the man who shot liberty valance 2nd edition
[Moe Howard] appears in which movies,The Three Stooges Meet Hercules|The Three Stooges in Orbit|Rockin' in the Rockies,the three stooges in orbit,The Three Stooges series of movies and shorts., The Three Stooges in Orbit
what movies did [Pamela Reed] star in,Kindergarten Cop|Caroline?,kindergarten cop,"The Long Riders, Kindergarten Cop, The Right Stuff, Junior, Proof of Life, Cadillac Man, Bean, The Simpsons Movie, etc.",the man who loved cat Dancing in the moonlight
what movies did [Anika Noni Rose] act in,The Princess and the Frog,the princess and the frog,Dreamgirls | The Princess and the Frog | Assassination Nation,the secret life of bees 2: hiveswap
what does [Tony Martin] star in,The Big Store|The Interview|Ali Baba Goes to Town,the big store,N/A,the man who would be king
what movies did [John Call] act in,Santa Claus Conquers the Martians,santa claus conquers the martians,N/A,the man from l.a.
what films did [Leigh McCormack] star in,The Long Day Closes,the long day closes,N/A,the man who knew too much 2nd edition
what does [Alice Brady] appear in,The Gay Divorcee|Gold Diggers of 1935|In Old Chicago|When Ladies Meet,gold diggers of 1935,My Man Godfrey | In Old Chicago | Young Mr. Lincoln | The Gay Divorcee | Stage Door | My Favorite Wife | Three Smart Girls | Li'l Abner | The Hasty Heart | When Ladies Meet | The Princess Comes Across |, the man who shot liberty valance
what does [Patrick Breen] appear in,Stark Raving Mad|The Bleeding House|Just a Kiss,just a kiss,Galaxy Quest | Men in Black | The Good Wife | The Twilight Zone | The Blacklist | Fringe | Law & Order | Meet the Parents | The Stepford Wives | Hercules (1997) | Friends | Sex and the City |, the man who would be king
what does [Leandro Firmino] act in,City of God,city of god,City of God., the man who killed don quixote?
what does [Clancy Brown] act in,Highlander|The SpongeBob SquarePants Movie|Pathfinder|John Dies at the End|Shoot to Kill|Blue Steel|Sparks|The Trials of Cate McCall|Cast a Deadly Spell|Past Midnight,blue steel,"The Shawshank Redemption, Starship Troopers, Highlander, Thor: Ragnarok, The Mandalorian, SpongeBob SquarePants.",the last samurai 2: the action hero returns!
what does [Brendan Coyle] act in,Offside,offside,"Downton Abbey, Me Before You, North & South",the last king of scotland yard 2nd edition
what films did [Debby Ryan] star in,Radio Rebel|What If...,radio rebel,Radio Rebel|16 Wishes|The Suite Life on Deck|Jessie|Every Day|Life of the Party|Insatiable|The Mysteries of Laura|Private Practice|The Glades|Hannah Montana: The Movie|The Long,i'm in love with a monster girl
what films did [Laurel Holloman] act in,The Incredibly True Adventure of Two Girls in Love,the incredibly true adventure of two girls in love,Boogie Nights|The Myth of Fingerprints|Prefontaine|Tumbleweeds|The Incredibly True Adventure of Two Girls in Love|The L Word: Generation Q,the last samurai 2: the legend continues
what movies did [Frank Ramírez] star in,La estrategia del caracol,la estrategia del caracol,Golpe de estadio|La estrategia del Caracol|Confesión a Laura|Rodrigo D: No futuro|La gente de la Universal|María Cano|Golpe de estadio|La estr,the man who shot liberty valance
what films does [Alison Routledge] appear in,The Quiet Earth,the quiet earth,The Quiet Earth, the man who knew too little 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd edition 2nd
what movies did [Eddie Cantor] star in,Thank Your Lucky Stars|Ali Baba Goes to Town|Kid Millions,ali baba goes to town,Whoopee!|Palmy Days|The Kid from Spain|Roman Scandals|Strike Me Pink|Ali Baba Goes to Town|Thank Your Lucky Stars|If You Knew Susie|Show Business|The Story of Mankind|,the big house-1931-dvdrip-xvid-ac3-dvdrip-xvid-ac3-dvdrip-xvid-ac3-dvdrip-xvid-ac3-dvdrip
what movies did [Dorothy Dell] act in,Little Miss Marker,little miss marker,N/A,the man who would be king
what does [Jason Behr] act in,Skinwalkers|The Tattooist,the tattooist,Roswell|Dawson's Creek|Breakout Kings|Grudge,the last kiss 2: the sequel to the last kiss 2: the sequel to the last kiss 2: the sequel to the last kiss 2: the sequel to the last kiss 2: the sequel to the last kiss 2: the sequel to the last
what does [Peter Bull] appear in,The African Queen,the african queen,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb | Muppet Treasure Island | Out of Africa | Tom Jones | Oliver Twist | Talk of a Million | The Magic Box | Ben-Hur | A French,the man who knew too much
what does [Ronald Zehrfeld] star in,Inbetween Worlds,inbetween worlds,Barbara | Phoenix | Hindenburg: The Last Flight | Unknown | Babylon Berlin | In My Room | The People vs. Fritz Bauer | Three Peaks | The King's Surrender | Transit | Wolfsburg | Beloved Sisters | Free Fall |,the man who would be king
what films did [Kathryn Grayson] star in,Anchors Aweigh|Show Boat|The Toast of New Orleans|Two Sisters from Boston,show boat,Anchors Aweigh | Show Boat | Kiss Me Kate | The Desert Song | That Midnight Kiss | The Vagabond King | The Kissing Bandit | Lovely To Look At | The Toast of New Orleans | It Happened in Brooklyn,the man who loved cat marnell too much
what does [Larenz Tate] act in,The Postman|A Man Apart|Dead Presidents|Why Do Fools Fall in Love|Love Jones|The Inkwell,the inkwell,Menace II Society | Love Jones | Dead Presidents | Ray | Power | Rush | Game of Silence | Why Do Fools Fall in Love | Biker Boyz | South Central | The Inkwell | Waist Deep | A Man Apart | Gun Hill,the man who loved women too much
what does [Candy Darling] star in,Flesh|Beautiful Darling,flesh,"Women in Revolt | Flesh | The Neon Woman | Silent Night, Bloody Night | Some of My Best Friends Are... | L'Amour",doris day
what movies did [Robbi Morgan] star in,Friday the 13th,friday the 13th,Friday the 13th.,the last of the mohicans 2: the legend of the lost tribe
what films did [George Harrison] star in,A Hard Day's Night|Help!,help!,Water (1985) | Shanghai Surprise (1986) | Time Bandits (1981) | How to Get Ahead in Advertising (1989) | Checking Out (1989) | The Last Temptation of Christ (1988),the man with the golden arm
what does [Edward Chapman] act in,Murder!,murder!,"N/A (Edward Chapman was a British actor who acted in multiple movies and TV shows, so there is no single answer to this question)", the man who shot liberty valance 2nd edition
what films did [Tom Savini] star in,Creepshow 2|Children of the Living Dead,creepshow 2,N/A (Tom Savini is primarily known as a special effects makeup artist and has had minor acting roles in a few films),the blood of christ ii: the resurrection of michael jackson
what does [Pat O'Brien] appear in,Angels with Dirty Faces|The Boy with Green Hair|The Fighting 69th|The Front Page|San Quentin|Page Miss Glory|Torrid Zone|Crack-Up|Here Comes the Navy|Bombardier|Boy Meets Girl|Castle on the Hudson|A Dangerous Profession,a dangerous profession,"Some of Pat O'Brien's notable appearances include Some Like It Hot, Angels with Dirty Faces, Knute Rockne, All American, and The Front Page.", the man who shot liberty valance
what does [Bob Dermer] appear in,The Care Bears Adventure in Wonderland,the care bears adventure in wonderland,Bob Dermer appears in the TV series The Doodlebops.,the man who would be king
what movies did [Anna Paquin] star in,Finding Forrester|The Piano|Buffalo Soldiers|Fly Away Home|Darkness|Margaret|A Walk on the Moon|Blue State|Free Ride,buffalo soldiers,The Piano|Fly Away Home|Almost Famous|X-Men|X2: X-Men United|X-Men: The Last Stand|Trick 'r Treat|Margaret|Scream 4|The Good Dinosaur|The Irishman|,the girl with the dragon tattoo
what films did [Mia Sara] act in,Ferris Bueller's Day Off|Timecop|Legend|Turn of Faith,legend,Ferris Bueller's Day Off | Legend | Timecop | A Stranger Among Us | Caroline at Midnight | Undertow | A Climate for Killing | Black Day Blue Night | Dazzle | The Witches of Eastwick | The Maddening,the man who loved women too much
what does [Larry Fessenden] act in,I Sell the Dead|Jug Face|Bitter Feast|Habit,habit,"Habit|Wendigo|The Last Winter|You're Next|We Are Still Here, and more.",the last of the mohicans 2: the dalton brothers revenge] -> the last of the mohicans 2: the dalton brothers revenge] -> jonah hartingfield] -> jonah hartingfield
what films did [Terry Kinney] star in,Body Snatchers,body snatchers,The Firm | Sleepers | Save the Tiger | The Last of the Mohicans | The House of Mirth | Turn the River | The Game Plan | Promised Land | 27 Dresses | The Secret Life of Marilyn Monroe | Being Flynn | Run,the last samurai 2: the legend continues
what movies did [Monte Hale] act in,Out California Way,out california way,The Lone Ranger Rides Again|The Big Showdown|The Man from Rainbow Valley|The Vanishing Outpost|Shadows Over Santa Rita|Thunder Town|Down Dakota Way|North of the Border|Thunder in the Rockies|Stage to Mesa,the man who shot liberty valance 2nd edition
what movies did [Erland Josephson] act in,The Sacrifice|Ulysses' Gaze|Face to Face,the sacrifice,The Sacrifice | Fanny and Alexander | Saraband | The Unbearable Lightness of Being | The Postman Always Rings Twice | Codename Coq Rouge | The Best Intentions | Sunday's Children | The Ox | The Conform,the man who fell to earth
what films did [Aksel Hennie] star in,Headhunters,headhunters,The Martian|Max Manus: Man of War|Headhunters|Hercules|Pioneer|Age of Heroes|The Last Knights|Uno,the girl with the dragon tattoo
what does [Lorenzo Quinteros] star in,Man Facing Southeast,man facing southeast,"Common Wealth|La Ciénaga|Aballay, el hombre sin miedo|Sol de Otoño|Los Pasos Perdidos|La Rosales|Los Enemigos|Juan Lamaglia medida universal|The One That",the man who would be king
what does [Jared Padalecki] appear in,Friday the 13th,friday the 13th,"Supernatural, Gilmore Girls, House of Wax, New York Minute, Friday the 13th, Walker, Texas Ranger, A Ring of Endless Light, Cry Wolf, Flight of the Phoenix, and many more television shows and movies.",supernatural season 5 episode 13 -> the bad place part 2
